diseases,sintomas,texto
avascular necrosis,"['hip pain', 'knee pain', 'drug abuse', 'shoulder pain']","
    Avascular necrosis is a condition that may present symptoms such as hip pain, knee pain, drug abuse, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
balanitis,"['skin rash', 'itching of skin', 'diaper rash', 'cough', 'painful urination', 'abnormal appearing skin', 'suprapubic pain', 'penis redness', 'penis pain']","
    Balanitis is a condition that may present symptoms such as skin rash, itching of skin, diaper rash, cough, painful urination, abnormal appearing skin, suprapubic pain, penis redness, penis pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
bell palsy,"['diminished vision', 'loss of sensation', 'abnormal involuntary movements', 'symptoms of the face', 'facial pain', 'peripheral edema', 'headache', 'symptoms of eye', 'weakness', 'focal weakness']","
    Bell palsy is a condition that may present symptoms such as diminished vision, loss of sensation, abnormal involuntary movements, symptoms of the face, facial pain, peripheral edema, headache, symptoms of eye, weakness, focal weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
benign kidney cyst,"['sharp abdominal pain', 'low back pain', 'involuntary urination', 'blood in urine', 'impotence', 'vomiting', 'side pain']","
    Benign kidney cyst is a condition that may present symptoms such as sharp abdominal pain, low back pain, involuntary urination, blood in urine, impotence, vomiting, side pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
benign paroxysmal positional vertical (bppv),"['problems with movement', 'nausea', 'fainting', 'irregular heartbeat', 'headache', 'weakness', 'vomiting', 'dizziness', 'frontal headache']","
    Benign paroxysmal positional vertical (bppv) is a condition that may present symptoms such as problems with movement, nausea, fainting, irregular heartbeat, headache, weakness, vomiting, dizziness, frontal headache.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
benign prostatic hyperplasia (bph),"['involuntary urination', 'low urine output', 'excessive urination at night', 'hesitancy', 'symptoms of prostate', 'blood in urine', 'pain in testicles', 'impotence', 'swelling of scrotum', 'frequent urination', 'symptoms of bladder', 'retention of urine']","
    Benign prostatic hyperplasia (bph) is a condition that may present symptoms such as involuntary urination, low urine output, excessive urination at night, hesitancy, symptoms of prostate, blood in urine, pain in testicles, impotence, swelling of scrotum, frequent urination, symptoms of bladder, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
benign vaginal discharge (leukorrhea),"['sharp abdominal pain', 'vaginal discharge', 'vaginal itching', 'painful urination', 'pain during pregnancy', 'problems during pregnancy', 'suprapubic pain', 'vaginal redness', 'burning abdominal pain', 'frequent urination']","
    Benign vaginal discharge (leukorrhea) is a condition that may present symptoms such as sharp abdominal pain, vaginal discharge, vaginal itching, painful urination, pain during pregnancy, problems during pregnancy, suprapubic pain, vaginal redness, burning abdominal pain, frequent urination.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
bipolar disorder,"['depression', 'obsessions and compulsions', 'insomnia', 'fears and phobias', 'anxiety and nervousness', 'excessive anger', 'temper problems', 'depressive or psychotic symptoms', 'delusions or hallucinations', 'abusing alcohol']","
    Bipolar disorder is a condition that may present symptoms such as depression, obsessions and compulsions, insomnia, fears and phobias, anxiety and nervousness, excessive anger, temper problems, depressive or psychotic symptoms, delusions or hallucinations, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
birth trauma,"['depressive or psychotic symptoms', 'emotional symptoms', 'arm stiffness or tightness']","
    Birth trauma is a condition that may present symptoms such as depressive or psychotic symptoms, emotional symptoms, arm stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
bladder cancer,"['excessive urination at night', 'groin mass', 'blood in urine', 'bladder mass', 'mass in scrotum', 'symptoms of bladder', 'retention of urine']","
    Bladder cancer is a condition that may present symptoms such as excessive urination at night, groin mass, blood in urine, bladder mass, mass in scrotum, symptoms of bladder, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
bladder disorder,"['involuntary urination', 'sharp abdominal pain', 'painful urination', 'suprapubic pain', 'blood in urine', 'frequent urination', 'lower abdominal pain', 'symptoms of bladder', 'retention of urine']","
    Bladder disorder is a condition that may present symptoms such as involuntary urination, sharp abdominal pain, painful urination, suprapubic pain, blood in urine, frequent urination, lower abdominal pain, symptoms of bladder, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
